,title,Categorie,collect,town,Pourcentage Raised,Creation Date,Description,NumberDonors
0,mammectomie hugo,"Medical, Illness & Healing","€2,225 raised of €5,000                    ",Vincennes,44.5%,Created 6 days ago,"Vous me connaissez pour la plus part d'Instagram, sur cette plateforme je diffuse depuis plus d'un an mon travail d'artiste, je suis artiste, mais je suis aussi une personne trans, et c'est pour cette raison que j'ai besoin de vous aujourd'hui. En tant que personne trans j'ai besoin de procéder à une opération absolument vitale pour moi, à savoir: la mammectomie. La date de l'opération est prévue pour le 28 mars 2022 à Lyon, seulement pour l'instant je n'ai pas les fonds pour payer cette opération. La seule ressource financière que je possède vient du travail que je possède ici à Paris et qui me permet de payer ma vie quotidienne, mais pas une opération à ce prix là et je n'ai pas de famille biologique qui puisse m'aider. C'est pour cette raison que j'en appel à votre soutien et que j'ai décidé de lancer une cagnotte en ligne, afin de récolter les 5000€ qui me permettrons de payer l'opération.Merci d'avance pour votre soutien.HugoRead more",100
1,i miss my life,"Medical, Illness & Healing","€506 raised of €10,000                    ",Paris,5.1%,Created 1 day ago,"Hellohope you all doing greati;m Hossam from morocco i have 27 years old passioned with technologies i had diabets and blood preasure iat an early age, which led to me losing my sight and having kidney failure, and I am now undergoing treatment Hemodialysis 3 times a week .now i lost my two legs all i need is to havesome help from you at least to start a new life even with artificial things i realy miss walking on the beachRead more",29
2,help a mom in coma wake up again,"Medical, Illness & Healing","€6,345 raised of €1                    ",Metz,100%,"Created January 11, 2022","Your support is needed !A Mum of six, 58 years old is in a deep coma.She is hospitalized following a heart attack that occurred on the 2nd of January 2022. The brain has taken the most damage due to the lack of oxygen. The current doctors are unable to find a solution, only the Will of God and your help can save her to be treated by neurological specialists. Last year was harsh but she won the fights against breast cancer and COVID. Today in this battle, she needs us.She is a vibrant, intelligent, generous, caring woman who always looked out after her family and those around her.Thank you for reading about her and helping with anything.All your efforts and donations will be greatly appreciated.Above all, the best weapons to assist her in this fight is to share this messages and above all your prayers❤️God bless you all,Her loving family -----------------------------------------------------------Votre soutien est nécessaire !Notre maman est dans un coma profond.Elle est hospitalisée suite à une crise cardiaque survenue le 2 janvier 2022. Par manque prolongé d'oxygène, son cerveau ne répond plus. Les médecins actuels sont incapables de trouver une solution. Seul votre soutien peut nous aider à la sauver pour qu'elle soit soignée par des spécialistes en neurologie.L'année dernière a été difficile mais elle a remporté ses combats contre le cancer du sein et la COVID. Aujourd'hui, dans cette bataille, elle a besoin de nous.Chaque action peut faire une différence.Tous vos efforts et vos dons seront grandement appréciés.Merci et s'il vous plait partagez un maximum ❤️Sa famille -----------------------------------------------------------                                                                                               ،السلام عليكم ورحمة الله وبركاته                                                                                                                                             ! دعمكم مطلوبأمي الغالـــية، أمّي الحبيبة، لؤلؤة البحار، قلبي، نور حياتي، مرضت ودخلت في غيبوبة عميقة. تبلغ من العمر 58 عاما.يوم 2 يناير 2022، تم إدخالها إلى المستشفى بعد نوبة قلبية وقد أصيب الدماغ بقدر كبير من الضرر بسبب نقص الأكسجينوللاسف فإن الأطباء عجزوا على إيجاد حل طبيبعون من الله ثم بمساعدتكم يمكن أن ننقذها ليتم معالجتها من قبلأخصائيي الأعصابCOVIDلقد كان العام الماضي قاسياً لكنها تجاوزت معارك عديدة ضد سرطان الثدي واليوم في هذه المعركة هي بحاجة إلينا جميعًا. إنها امرأة نابضة بالحياة، ذكية، كريمة، من أهل القرآن وتهتم دائمًا بأسرتها ومن حولهانعم الأعمار بين يدي الله وسلاح المؤمن الدعاء. فلذا، أرجو منكم الدعاء لوالدتي بالشفاء العاجل ومساعدتكم بالقليل او الكثير عبر هذا الرابط ❤️بارك الله فيكم جميعا و دمتم في رعاية الله وحفظهعائلتهاRead more",139
3,aidez gladys pour un ultime traitement,"Medical, Illness & Healing","€5,667 raised of €100,000                    ",Héricy,5.7%,"Created January 14, 2022","«Tout le monde est faible devant la souffrance Alors je cache ma souffrance pour qu’elle disparaisse »Première alerte en 1998, tumeur au rein gauche qui m’a value l’ablation de celui-ci Récidive en 2014 deuxième rein atteint, nouveau combat qui perdure depuis lors.La force, c’est de pouvoir regarder la douleur en face, lui sourire et continuer malgré ses coups à se tenir debout.Arrêt thérapeutique, car plus d’espoir……..Puis une lueur d’espoir en Allemagne Debout je veux rester Aidez-moi« Everyone is weak in the face of suffering So I hide my suffering, then it disappears»First alert in 1998, left kidney tumor that brought me the ablation of this oneRecidivism in 2014 second kidney affected, new fight that continues since then.The strength is to be able to look at the pain in the face, smile at it and continue despite its blows to stand.Therapeutic discontinuation, because no more hope……...Then a glimmer of hope in GermanyStand up I want to stayHelp meRead more",63
4,aide pour mon papa frais mdicaux opration,"Medical, Illness & Healing","€4,889 raised of €10,000                    ",Évreux,48.9%,"Created December 6, 2021","Chers tous,Mon papa est actuellement en visite chez moi. La semaine dernière, il a commencé à avoir des symptômes d’insuffisance cardiaque. On est allé chez le médecin traitant qui a par la suite nous a envoyé aux urgences. Après avoir fait les tests nécessaires, l’état de mon papa a nécessité son hospitalisation dans les soins intensifs cardiologiques. Le lendemain, il a été transféré dans le service cardiologique pour quelques jours.Cependant, l’assurance de voyage prise au Liban a refusé de prendre en charge les frais d’hospitalisation par cause soit disant que les maladies cardiaques ne sont pas prises en charge.A cause de cela, je me retrouve avec une dette à payer à l’hôpital d’une grosse somme d’argent.Je vous prie de m'aider à récolter l'argent pour les frais médicaux et l'opération chirurgicale pour son coeur qui est préconisée pour être faite après un mois.Je vous remercie par avance, Read more",126
5,aidons andreas vivre avec la maladie de charcot,"Medical, Illness & Healing","€20,150 raised of €20,000                    ", ,100%,"Created December 16, 2021","Bonjour à vous tous,Notre père Andreas est atteint de sclérose latérale amyotrophique (SLA), aussi connue sous le nom de maladie de Charcot. Nous souhaitons collecter des fonds pour l’aider à vivre plus sereinement avec cette maladie dégénérative qui a fortement impacté sa vie et celle de notre famille.Il y a maintenant plus de 2 ans, à 55 ans, après plusieurs mois de recherche clinique, il a été diagnostiqué de la SLA. On lit alors sur internet que l’on ne connaît toujours pas les causes de cette maladie, et que l’espérance de vie serait généralement entre 2 et 5 ans... Un choc pour nous qui ne connaissions pas cette maladie rare. Notre père étant de nature positive, a accepté plus ou moins cette situation, ce qui lui permet de mieux faire face aux difficultés rencontrés au quotidien. En même temps, il mène un combat contre sa maladie de différentes manières (alimentation, méditation, médecines alternatives,...). Et effectivement, pour l'instant, sa maladie semble évoluer plutôt lentement.Pour autant, aujourd'hui il n’y a pas de véritable remède et la maladie mène progressivement à la paralysie générale.Après l'annonce de la maladie, il a réagi comme à son habitude avec beaucoup de projets après avoir compris qu'il lui fallait créer un espace adapté à son handicap qui évolue au fur et à mesure.Aujourd'hui, il a de plus en plus de mal à se déplacer, étant donné que la maladie a déjà fortement impacté ses jambes et rend la montée des escaliers très difficile.Notre maison étant difficile à adapter aux besoins du handicap (pas de pièce pour dormir au rdc et salle de bain inadaptée), commence la construction d’une habitation adaptée PMR dans notre grange, avec les aménagements nécessaires au niveau de la cuisine, des toilettes, de la salle de bains, etc. pour pouvoir vivre le plus longtemps le plus autonome possible.Comme il ne peut pas renier ses passions et convictions, il a souhaité en faire un habitat écologique très économe en énergie, avec beaucoup de terre à l’intérieur, et un petit mur en pisé réalisé avec un chantier participatif. Il a toujours été très actif et engagé dans l'écologie et la durabilité en s'impliquant notamment dans la construction en terre, la construction écologique en général et l’efficacité énergétique.Pour tous ces aménagements il y a bien quelques aides et un soutien familial, mais les fonds manquent pour venir à bout de ce chantier et qu'il puisse enfin emménager.Il devient également urgent d’aménager la voiture pour mettre la conduite au volant, ainsi que d'investir dans une sorte de petite grue pour rentrer le fauteuil roulant.C’est pour cela que nous vous sollicitons à lui apporter une contribution, même modeste, pour lui permettre de faire ces aménagements dont il a besoin pour rester au maximum autonome et lui simplifier un peu la vie dans cette situation qu’il n’a pas choisie.Un immense merci pour votre soutien !Myriam, Jonas et Leon10% des sommes récoltées seront reversées à l'ARSLA, association pour la recherche sur la SLA (www.arsla.org) et grand soutien aux malades et leurs familles.Read more",126
6,aider arta se soigner du cancer,"Medical, Illness & Healing","€1,802 raised of €50,000                    ",Annecy,3.6%,"Created January 21, 2022","APPEL A L'AIDEChers amis, camarades, humanistes, famille, j'ai besoin d'une aide financière. Ma femme Arta Bajraktari -Temaj depuis août 2020 a reçu un diagnostic de lymphome marginal - ZONE MARGINAL NON HODGKYN LYMPHOME.De novembre 2020 à avril 2021, il a été traité par chimiothérapie dans un hôpital en Turquie, mais après les derniers examens que nous avons en Turquie et à l'UCCK, les médecins ont conclu que la maladie était réapparue et maintenant, selon les médecins, une greffe doit être fait de toute urgence. de la moelle épinière.Le traitement de greffe sera effectué à l'hôpital Medical Park d'Istanbul alors que le montant requis est de 75 000 euros.Jusqu'à présent, nous avons eu un soutien de 30%, du Fonds d'assurance maladie de la République du Kosovo, tandis que l'autre le reste doit être fourni par nous-mêmes.En cas d'impossibilité de fournir la cette somme je sollicite vôtre aide les amis , famille, humanistes, personnes de bonne volonté qui autant que vous pouvez nous aider à réunir la somme nécessaire pour un traitement à l'étranger.Merci beaucoup.Avec respect:Ekrem BajraktariRead more",50
7,association angel parisbasak,"Medical, Illness & Healing","€3,269 raised of €100,000                    ",Le Raincy,3.3%,"Created December 7, 2021","L’association a pour but de :- Lancer des missions humanitaire en France et à l’international en faveur des enfants ;- Soutenir les enfants atteints de maladies rares, comme les enfants atteints de SMA, à se faire soigner ;- Accompagner les enfants issues de familles monoparentales ou démunies ;- Organiser des événements à destination des enfantsVous pouvez consulter notre page Instagram pour découvrir toutes les actions menées dans ce cadre : https://www.instagram.com/angel_association_paris/L'association ANGEL PARIS lance cette campagne dans le cadre de notre soutien à l'enfant BASAK. BASAK  est une petite princesse de 13 mois atteinte d'une maladie rare et mortelle, (SMA, l’amyotrophie spinale, type 1), qui affecte les cellules nerveuses motrices de la moelle épinière, l'empêchant de marcher, de manger ou de respirer.Un traitement existe : Le Zolgensma, (médicament le plus cher au monde), il coûte 2 millions d'euros ! C'est pour l'instant, le seul traitement efficace pour soigner l'amyotrophie spinale, le traitement est donné à l’enfant avec une injection et une seule dose est suffisante.Basak doit accéder le plus rapidement possible à son traitement,  le Zolgensma ne pourra pas lui être administré si elle dépasse le seuil des 13 kg. Plus le vaccin lui est administré, plus elle aura des chances de se remettre vite et sans séquelles de cette maladie génétique. Basak a besoin de vos dons pour recevoir ce traitement, pour rester en vie et pouvoir marcher et courir un jour !Chaque jour compte, car chaque jour sans recevoir ce traitement, ce sont des pertes de neurones ! TOUS ENSEMBLE, NOUS POUVONS SAUVER BASAK !Elle perd des compétences musculaires chaque jour et un jour, elle ne pourra plus respirer seul pendant son sommeil. Nous voulons la sauver. Nous devons la sauver.Nous ne pouvions pas rester indifférents face à la détresse de ce bébé et de cette famille, c’est la raison pour laquelle nous avons lancé cette cagnotte. Voici son rapport médical :Quel que soit le montant, chacun peut participer !Vous pouvez nous contacter via notre page Facebook : https://www.facebook.com/angel.association.parisOU Instragram : https://www.instagram.com/angel_association_paris/Vous pouvez aussi suivre la campagne internationale de BASAK sur Instagram : https://www.instagram.com/sma_basagaumutol/Si vous ne pouvez pas participer financièrement, partagez cette cagnotte autour de vous au maximum svp. MERCI !Read more",88
8,aider maria marolany se soigner dun cancer,"Medical, Illness & Healing","€5,267 raised of €8,000                    ",Grasse,65.8%,"Created December 7, 2021","Bonjour je m'appelle Maria, Maria-Aucl Marolany nom d'artiste, chanteuse musicienne et beaucoup d'autres activités. En général, je suis une personne qui ne parle pas de mes problèmes, de maux..., mais je me suis dis, "" je peux m'aider et aider des gens qui n'osent pas en parler"" ! Je collecte des fonds pour me soigner et me  guérir d'un cancer du côlon qui a débuté en Septembre 2019, plus rien au côlon à la suite d'une colectomie, puis  en 2021  les médecins m'annoncent une tumeur à l'utérus et cancer aux poumons , j'ai pris le choix de ne pas faire de chimio et de me soigner avec les moyens les plus naturelles possibles.Le fait est que, en côtoyant à plusieurs reprises les hôpitaux , médecins, IRM, Petscan , scanner et  les produits ingérés, je ne supportais plus tout çà ni dans mon esprit et ni dans mon corps "" j'avais des nausées,des vomissements  etc..."", cela me rendais de plus en plus vulnérable.De plus, cela fait plusieurs années que je ne prenais plus de médicament.Les traitements naturels sont très couteux, c'est pour cela que je fais appelles à vous!Je me suis posé la question, ""est ce que je passe par ce-chemin là, collectes, ou pas"", qui ne tente rien n'as rien.Vu que je suis une femme joyeuse et que la maladie peut te submerger d'angoisse très rapidement, je me suis dit,"" tu dois faire quelque chose.Mais surtout je voulais vous dire que  je garde la force, la confiance et la foi malgré tout, ce n'est pas toujours facile mais c'est possible. Je me dis ""chaque minute, chaque jour, vaut le coup d'être bien vécu "". Je fais des méditations, du qi gong, un peu de yoga, marcher dans la nature, et j'écoute beaucoup de musiques.des amis et ma famille m'aide beaucoup!Merci infiniment pour votre soutien!Read more",94
9,help mark beat stage iv cancer,"Medical, Illness & Healing","€15,221 raised of €50,000                    ",Nîmes,30.4%,"Created December 3, 2021","Dear friends, family, and good Samaritans.In a matter of weeks, Mark’s family's world was recently turned upside down as their lives took a sudden serious and heartbreaking plunge. Our brother had been experiencing a range of symptoms, including most notably A LOT of difficulty eating and drinking. Soon he had effectively stopped being able to do either and had lost 72 pounds, accompanied by severe vomiting, dehydration, and anemia. After various courses of medications that proved ineffective, an endoscopy/biopsy revealed the dreaded diagnosis no one wants to receive: CANCER, situated in his stomach. Like most cancers, gastric cancer grows quietly, unnoticed -- and once symptoms do appear it is too late for anything but the most radical measures. So, Mark's stomach was removed, and he spent nearly three weeks in intensive care, totaling two months in the hospital. During that time, we learned that Mark’s illness had progressed to STAGE IV CANCER with metastases in his blood and lymph nodes. Thus he faces not only the gruelling and uncertain rounds of chemotherapy that lie ahead as soon as he is able to regain enough strength to undergo them, but he also must come to terms with living life without a stomach and all the attendant challenges.Mark is a brilliant man who began building computers from the ground up as a child, long before this was fashionable or even much heard of. There was little he could not solve – he made cars run, appliances function; he mastered the various trades involved in home renovation – he could apply himself to almost anything, and he did. Along with his native intelligence, Mark has always had a highly creative mind as well as a kind heart; and as the oldest son in our family, he always looked out for his four younger siblings (Abba, Anna, Jeremy, and Armando). Mark spent many years in Vancouver after being compelled to travel the world at a young age and landing in Canada for safe haven. Many years later he returned to Europe, where he would meet his wife Odeta and the young couple would be blessed with their beloved daughter, Chiara. They later relocated to France, where he and his beautiful family have established roots and currently reside. Mark has dedicated his life to his family, to supporting them, and to his work in order to do so. As well, he gives back by volunteering his time and IT skills with the Red Cross and Secure Populaire of France.Marks' family is facing a most difficult battle; and Mark, who has had to fight throughout his life, is facing his most difficult challenge of all. The shocking news leaves us speechless and heartbroken. Just prior to becoming ill, Mark and his young family had finally been able to purchase their modest little home that they’d long been saving for. In a cruel stroke of irony, Mark was in the middle of making improvements to the old kitchen at the time of his collapse; several subsequent seizures were what led him to the ER. Thus, both he and the kitchen are now “gutted,” making it all the more difficult to produce the nourishing food he needs in order to gain enough weight to undergo treatment.Life, as we know, can take unexpected twists and turns.Before his illness, Mark was a full-time professional working as an IT administrator on a variety of accounts at Koesio, working closely with doctors, lawyers, and school administrators, but he will be unable to work for the foreseeable future. Odeta was also a full-time professional at Koesio, working as an Administrator De Vente. Odeta will be unable to work because she will be caring for both her husband and their daughter full-time. The cold, dark winter is coming, and so are the many unexpected bills. The kitchen, otherwise the heart of the home, is not functional and is a constant sad reflection of the family’s life now.Despite the fact that Mark has must confront numerous challenges ahead, we are confident that with his fearlessness attitude, sense of humour, and incredible loving heart, he will meet them with his eyes wide open and triumph. We are hopeful that with treatment and proper care, as well as with the powers greater than ourselves that be, we will be able to help Mark in his time of greatest need.We all need help at some time. Now we kindly and humbly ask for yours on behalf of Mark, his wife Odeta, and their 9-year-old daughter Chiara. Life is so precious.Their family and friends stand with them, their community stands with them -- and we are asking you to stand with them in prayer and by donating what you can, big or small, to help.Please join us in our efforts to raise funds to assist this wonderful family!You can contact Abba with any questions on ways you can help. We thank you so much for caring.Read more",84
